zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,zmax
z<=12,mE,0.5,0.49457825044312376,0.065,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.25,-3.5422773288603198,12.0
z<=12,mE,0.5,0.4963768115942029,0.075,700.0,0.09065217391304348,2.978260869565217,1.502879257166788,0.75,-3.6267423504842036,12.0
z<=12,mE,0.5,0.4890510948905109,0.085,700.0,0.09197080291970804,2.9343065693430654,1.5247401800379323,1.0,-3.6391164150929525,12.0
z<=12,mE,0.5,0.49272698629417633,0.095,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.5,-3.919869953066717,12.0
z<=12,mE,0.5,0.49090235903945834,0.105,700.0,0.09163757537289749,2.94541415423675,1.5192157590957658,0.75,-3.930341992659603,12.0
z<=12,mE,0.5,0.49272698629417633,0.115,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.75,-3.9836476683245934,12.0
z<=12,mE,0.5,0.49457825044312376,0.125,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,1.0,-4.116014497027762,12.0
z<=12,mE,0.75,0.7391167358084336,0.045,700.0,0.046958987554481954,4.434700414850601,0.7785107106298506,0.0,,12.0
z<=12,mE,0.75,0.7381783560774358,0.055,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,0.0,,12.0
z<=12,mE,0.75,0.7391304347826088,0.065,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,-3.5586664188404793,12.0
z<=12,mE,0.75,0.7372262773722628,0.075,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,0.25,-3.239453159941539,12.0
z<=12,mE,0.75,0.7381783560774358,0.085,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,0.5,-3.544638223898361,12.0
z<=12,mE,0.75,0.7391304347826088,0.095,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,-3.909015131569372,12.0
z<=12,mE,0.75,0.7372262773722628,0.105,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,0.5,-3.932883440913175,12.0
z<=12,mE,0.75,0.7381783560774358,0.115,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,1.0,-4.122836197639782,12.0
z<=12,mE,0.75,0.7381783560774358,0.125,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,1.0,-4.05039962188854,12.0
z<=15,mE,0.25,0.24519991422726298,0.045,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.0,,15.0
z<=15,mE,0.25,0.2503572830482056,0.055,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.0,,15.0
z<=15,mE,0.25,0.242603550295858,0.065,700.0,0.13633136094674556,1.455621301775148,2.2601727639175975,0.0,,15.0
z<=15,mE,0.25,0.2503572830482056,0.075,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.25,-3.7190557914451663,15.0
z<=15,mE,0.25,0.24519991422726298,0.085,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.25,-3.808930251111172,15.0
z<=15,mE,0.25,0.2503572830482056,0.095,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.5,-4.084373742530108,15.0
z<=15,mE,0.25,0.24519991422726298,0.105,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.5,-3.79079776968479,15.0
z<=15,mE,0.25,0.24519991422726298,0.115,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,1.0,-4.164967253578929,15.0
z<=15,mE,0.25,0.24519991422726298,0.125,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,1.0,-4.019190898975133,15.0
z<=15,mE,0.5,0.4869739478957916,0.045,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.0,,15.0
z<=15,mE,0.5,0.4905225470704255,0.055,700.0,0.09170594152732342,2.9431352824225527,1.5203491690399944,0.0,,15.0
z<=15,mE,0.5,0.4905225470704255,0.065,700.0,0.09170594152732342,2.9431352824225527,1.5203491690399944,0.0,,15.0
z<=15,mE,0.5,0.490547263681592,0.075,700.0,0.09170149253731344,2.943283582089552,1.5202754113515384,1.0,-3.643646944538367,15.0
z<=15,mE,0.5,0.490547263681592,0.085,700.0,0.09170149253731344,2.943283582089552,1.5202754113515384,0.75,-3.5473401053869096,15.0
z<=15,mE,0.5,0.4869739478957916,0.095,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.5,-3.7928174454153147,15.0
z<=15,mE,0.5,0.4869739478957916,0.105,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.75,-3.8610824454069843,15.0
z<=15,mE,0.5,0.49230920496332564,0.115,700.0,0.09138434310660137,2.953855229779954,1.515017541845876,1.0,-4.060224226271175,15.0
z<=15,mE,0.5,0.4869739478957916,0.125,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,1.0,-4.061330481168842,15.0
z<=15,mE,0.75,0.7420622835122086,0.045,700.0,0.04642878896780245,4.452373701073252,0.7697208005405005,0.0,,15.0
z<=15,mE,0.75,0.7392942884550568,0.055,700.0,0.04692702807808975,4.435765730730341,0.7779808696777095,0.0,,15.0
z<=15,mE,0.75,0.7411526794742164,0.065,700.0,0.04659251769464105,4.446916076845298,0.7724351811973185,0.5,-3.4641266727609166,15.0
z<=15,mE,0.75,0.7383717165387227,0.075,700.0,0.04709309102302993,4.430230299232336,0.7807339482257651,0.75,-3.2753803942697304,15.0
z<=15,mE,0.75,0.7402301075578821,0.085,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,0.75,-3.6647601205521028,15.0
z<=15,mE,0.75,0.7383717165387227,0.095,700.0,0.04709309102302993,4.430230299232336,0.7807339482257651,1.0,-3.8878630485735304,15.0
z<=15,mE,0.75,0.7402301075578821,0.105,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,0.75,-3.7719678939994026,15.0
z<=15,mE,0.75,0.7402301075578821,0.115,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,1.0,-4.00773213731432,15.0
z<=15,mE,0.75,0.7393075356415478,0.125,700.0,0.04692464358452139,4.435845213849287,0.7779413382934298,0.75,-4.122661495878689,15.0
z<=17,mE,0.25,0.2403100775193799,0.045,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,0.0,,17.0
z<=17,mE,0.25,0.2376745530701843,0.055,700.0,0.13721858044736684,1.426047318421106,2.2748815538614173,0.0,,17.0
z<=17,mE,0.25,0.23503902862098874,0.065,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.0,,17.0
z<=17,mE,0.25,0.2403100775193799,0.075,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,0.25,-3.8018421538313594,17.0
z<=17,mE,0.25,0.23503902862098874,0.085,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.5,-3.7591748636170097,17.0
z<=17,mE,0.25,0.2455089820359282,0.095,700.0,0.13580838323353292,1.4730538922155691,2.251502565253617,1.0,-3.9268396533472387,17.0
z<=17,mE,0.25,0.23503902862098874,0.105,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.75,-3.86498620445343,17.0
z<=17,mE,0.25,0.2403100775193799,0.115,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,1.0,-4.133869793289969,17.0
z<=17,mE,0.25,0.2376745530701843,0.125,700.0,0.13721858044736684,1.426047318421106,2.2748815538614173,1.0,-4.109406796737177,17.0
z<=17,mE,0.5,0.4964788732394366,0.045,700.0,0.0906338028169014,2.97887323943662,1.5025746915051874,0.0,,17.0
z<=17,mE,0.5,0.4929577464788732,0.055,700.0,0.09126760563380282,2.957746478873239,1.5130822068303986,0.5,-3.5210319753436696,17.0
z<=17,mE,0.5,0.4911597243032664,0.065,700.0,0.09159124962541206,2.9469583458195983,1.5184477465709323,0.0,,17.0
z<=17,mE,0.5,0.49293259931557803,0.075,700.0,0.09127213212319596,2.9575955958934683,1.5131572493442524,1.0,-3.4945331215648348,17.0
z<=17,mE,0.5,0.49473062149118485,0.085,700.0,0.09094848813158671,2.968383728947109,1.5077917096037188,0.5,-3.7644448567106155,17.0
z<=17,mE,0.5,0.4929577464788732,0.095,700.0,0.09126760563380282,2.957746478873239,1.5130822068303986,0.75,-3.7569544782316746,17.0
z<=17,mE,0.5,0.49650349650349657,0.105,700.0,0.09062937062937061,2.979020979020979,1.502501212377039,0.5,-3.9568154782526657,17.0
z<=17,mE,0.5,0.49650349650349657,0.115,700.0,0.09062937062937061,2.979020979020979,1.502501212377039,0.5,-3.953217820802296,17.0
z<=17,mE,0.5,0.4946808510638298,0.125,700.0,0.09095744680851064,2.968085106382979,1.5079402312457209,1.0,-4.030501630435699,17.0
z<=17,mE,0.75,0.7437689969604863,0.045,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.25,-3.3541198618841355,17.0
z<=17,mE,0.75,0.7410071942446044,0.055,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.0,,17.0
z<=17,mE,0.75,0.7437689969604863,0.065,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.25,-3.460557323285833,17.0
z<=17,mE,0.75,0.7446808510638298,0.075,700.0,0.045957446808510646,4.468085106382978,0.7619066431557329,0.5,-3.6480434645951587,17.0
z<=17,mE,0.75,0.7428571428571428,0.085,700.0,0.0462857142857143,4.457142857142856,0.7673488334639881,0.75,-3.560603518757304,17.0
z<=17,mE,0.75,0.742844022654217,0.095,700.0,0.04628807592224093,4.457064135925302,0.7673879859122488,0.5,-3.823486951568369,17.0
z<=17,mE,0.75,0.7437689969604863,0.105,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.5,-3.878948327306796,17.0
z<=17,mE,0.75,0.7428571428571428,0.115,700.0,0.0462857142857143,4.457142857142856,0.7673488334639881,0.75,-3.899132109744718,17.0
z<=17,mE,0.75,0.7446680080482897,0.125,700.0,0.04595975855130785,4.468008048289738,0.7619449684395937,1.0,-4.10095582205483,17.0
z<=19,mE,0.25,0.24086163446537856,0.045,700.0,0.13664490579623184,1.4451698067922716,2.2653708747862504,0.0,,19.0
z<=19,mE,0.25,0.24615384615384614,0.055,700.0,0.1356923076923077,1.4769230769230768,2.249578204086734,0.0,,19.0
z<=19,mE,0.25,0.248745372274784,0.065,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,0.0,,19.0
z<=19,mE,0.25,0.2513368983957219,0.075,700.0,0.13475935828877006,1.5080213903743314,2.234111279841676,0.0,,19.0
z<=19,mE,0.25,0.2435261872132515,0.085,700.0,0.13616528630161473,1.4611571232795089,2.257419491397648,0.5,-3.92824638674234,19.0
z<=19,mE,0.25,0.248745372274784,0.095,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,0.5,-4.1023476718643135,19.0
z<=19,mE,0.25,0.24086163446537856,0.105,700.0,0.13664490579623184,1.4451698067922716,2.2653708747862504,0.5,-3.6705114996794563,19.0
z<=19,mE,0.25,0.248745372274784,0.115,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,1.0,-4.141399407109675,19.0
z<=19,mE,0.25,0.2435261872132515,0.125,700.0,0.13616528630161473,1.4611571232795089,2.257419491397648,1.0,-4.1358405261167315,19.0
z<=19,mE,0.5,0.5011445873896118,0.045,700.0,0.08979397426986988,3.0068675243376703,1.488651573631358,0.0,,19.0
z<=19,mE,0.5,0.5046439628482973,0.055,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,0.0,,19.0
z<=19,mE,0.5,0.4994071733855723,0.065,700.0,0.09010670879059698,2.9964430403134337,1.4938362504450835,0.0,,19.0
z<=19,mE,0.5,0.5046439628482973,0.075,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,1.0,-3.550718391246616,19.0
z<=19,mE,0.5,0.5011691348402183,0.085,700.0,0.0897895557287607,3.00701480904131,1.4885783207407401,0.5,-3.7184192441360553,19.0
z<=19,mE,0.5,0.4994071733855723,0.095,700.0,0.09010670879059698,2.9964430403134337,1.4938362504450835,0.5,-3.728409506326239,19.0
z<=19,mE,0.5,0.5046439628482973,0.105,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,0.75,-3.965732877068445,19.0
z<=19,mE,0.5,0.4976452119309262,0.115,700.0,0.09042386185243327,2.985871271585557,1.4990941801494269,0.5,-3.825653070882267,19.0
z<=19,mE,0.5,0.5011691348402183,0.125,700.0,0.0897895557287607,3.00701480904131,1.4885783207407401,0.5,-4.134418696769501,19.0
z<=19,mE,0.75,0.7474348855564326,0.045,700.0,0.04546172059984214,4.484609313338595,0.7536882342187725,0.25,-3.3313564375464844,19.0
z<=19,mE,0.75,0.7465314332392656,0.055,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,0.0,,19.0
z<=19,mE,0.75,0.7465314332392656,0.065,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,0.5,-3.403111489697899,19.0
z<=19,mE,0.75,0.7474221409312687,0.075,700.0,0.045464014632371624,4.484532845587612,0.7537262658925319,0.5,-3.174146761834741,19.0
z<=19,mE,0.75,0.7447115084754607,0.085,700.0,0.04595192847441705,4.468269050852765,0.7618151573205301,0.75,-3.5877865362015737,19.0
z<=19,mE,0.75,0.7465314332392656,0.095,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,1.0,-3.915189040362094,19.0
z<=19,mE,0.75,0.7474348855564326,0.105,700.0,0.04546172059984214,4.484609313338595,0.7536882342187725,0.75,-3.8842449628244,19.0
z<=19,mE,0.75,0.7456149607926278,0.115,700.0,0.04578930705732699,4.4736897647557665,0.7591191342251529,0.75,-4.006966437108987,19.0
z<=19,mE,0.75,0.7474348855564326,0.125,700.0,0.04546172059984214,4.484609313338595,0.7536882342187725,1.0,-4.166208476297644,19.0
z<=22,mE,0.25,0.249087686372641,0.045,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.0,,22.0
z<=22,mE,0.25,0.2517985611510791,0.055,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.0,,22.0
z<=22,mE,0.25,0.2544707091469681,0.065,700.0,0.13419527235354572,1.5268242548818087,2.224759567525087,0.25,-3.54645475558737,22.0
z<=22,mE,0.25,0.2544707091469681,0.075,700.0,0.13419527235354572,1.5268242548818087,2.224759567525087,0.0,,22.0
z<=22,mE,0.25,0.2544707091469681,0.085,700.0,0.13419527235354572,1.5268242548818087,2.224759567525087,0.25,-3.4890375000113507,22.0
z<=22,mE,0.25,0.2571428571428571,0.095,700.0,0.1337142857142857,1.5428571428571427,2.216785518895965,1.0,-3.9583860673083886,22.0
z<=22,mE,0.25,0.25175983436853,0.105,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.25,-3.597041653147365,22.0
z<=22,mE,0.25,0.2544707091469681,0.115,700.0,0.13419527235354572,1.5268242548818087,2.224759567525087,1.0,-4.134332906909108,22.0
z<=22,mE,0.25,0.24900938477580814,0.125,700.0,0.13517831074035452,1.4940563086548488,2.2410568931904464,1.0,-4.074775089563198,22.0
z<=22,mE,0.5,0.4982014388489209,0.045,700.0,0.09032374100719423,2.9892086330935252,1.4974343242957318,0.25,-3.4456646842508984,22.0
z<=22,mE,0.5,0.49457825044312376,0.055,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.0,,22.0
