zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=15,mE,0.75,0.7402301075578821,0.115,700.0,0.04675858063958122,4.441380645347293,0.7751882597453741,1.0,95.0,42.60869565217391,15.0
z<=15,mE,0.75,0.7393075356415478,0.125,700.0,0.04692464358452139,4.435845213849287,0.7779413382934298,0.75,80.0,42.91304347826087,15.0
z<=17,mE,0.25,0.2403100775193799,0.045,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,0.0,,,17.0
z<=17,mE,0.25,0.2376745530701843,0.055,700.0,0.13721858044736684,1.426047318421106,2.2748815538614173,0.0,,,17.0
z<=17,mE,0.25,0.23503902862098874,0.065,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.0,,,17.0
z<=17,mE,0.25,0.2403100775193799,0.075,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,0.25,0.0,35.391304347826086,17.0
z<=17,mE,0.25,0.23503902862098874,0.085,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.5,93.5,49.076086956521735,17.0
z<=17,mE,0.25,0.2455089820359282,0.095,700.0,0.13580838323353292,1.4730538922155691,2.251502565253617,1.0,76.5,50.47101449275362,17.0
z<=17,mE,0.25,0.23503902862098874,0.105,700.0,0.13769297484822204,1.4102341717259326,2.2827463129067467,0.75,75.0,21.608695652173918,17.0
z<=17,mE,0.25,0.2403100775193799,0.115,700.0,0.13674418604651162,1.4418604651162794,2.267016794816088,1.0,78.5,23.58695652173913,17.0
z<=17,mE,0.25,0.2376745530701843,0.125,700.0,0.13721858044736684,1.426047318421106,2.2748815538614173,1.0,73.5,40.63938618925831,17.0
z<=17,mE,0.5,0.4964788732394366,0.045,700.0,0.0906338028169014,2.97887323943662,1.5025746915051874,0.0,,,17.0
z<=17,mE,0.5,0.4929577464788732,0.055,700.0,0.09126760563380282,2.957746478873239,1.5130822068303986,0.5,75.0,33.05555555555556,17.0
z<=17,mE,0.5,0.4911597243032664,0.065,700.0,0.09159124962541206,2.9469583458195983,1.5184477465709323,0.0,,,17.0
z<=17,mE,0.5,0.49293259931557803,0.075,700.0,0.09127213212319596,2.9575955958934683,1.5131572493442524,1.0,86.5,55.54347826086956,17.0
z<=17,mE,0.5,0.49473062149118485,0.085,700.0,0.09094848813158671,2.968383728947109,1.5077917096037188,0.5,83.0,59.60144927536232,17.0
z<=17,mE,0.5,0.4929577464788732,0.095,700.0,0.09126760563380282,2.957746478873239,1.5130822068303986,0.75,66.0,34.65415019762846,17.0
z<=17,mE,0.5,0.49650349650349657,0.105,700.0,0.09062937062937061,2.979020979020979,1.502501212377039,0.5,86.0,31.95652173913043,17.0
z<=17,mE,0.5,0.49650349650349657,0.115,700.0,0.09062937062937061,2.979020979020979,1.502501212377039,0.5,68.5,42.60869565217391,17.0
z<=17,mE,0.5,0.4946808510638298,0.125,700.0,0.09095744680851064,2.968085106382979,1.5079402312457209,1.0,80.5,44.045893719806756,17.0
z<=17,mE,0.75,0.7437689969604863,0.045,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.25,43.0,59.17874396135265,17.0
z<=17,mE,0.75,0.7410071942446044,0.055,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.0,,,17.0
z<=17,mE,0.75,0.7437689969604863,0.065,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.25,74.0,27.043478260869552,17.0
z<=17,mE,0.75,0.7446808510638298,0.075,700.0,0.045957446808510646,4.468085106382978,0.7619066431557329,0.5,54.0,59.60144927536231,17.0
z<=17,mE,0.75,0.7428571428571428,0.085,700.0,0.0462857142857143,4.457142857142856,0.7673488334639881,0.75,68.0,30.434782608695652,17.0
z<=17,mE,0.75,0.742844022654217,0.095,700.0,0.04628807592224093,4.457064135925302,0.7673879859122488,0.5,102.0,38.7536231884058,17.0
z<=17,mE,0.75,0.7437689969604863,0.105,700.0,0.046121580547112476,4.462613981762917,0.7646277383098605,0.5,89.0,55.79710144927535,17.0
z<=17,mE,0.75,0.7428571428571428,0.115,700.0,0.0462857142857143,4.457142857142856,0.7673488334639881,0.75,94.0,20.391304347826082,17.0
z<=17,mE,0.75,0.7446680080482897,0.125,700.0,0.04595975855130785,4.468008048289738,0.7619449684395937,1.0,76.5,50.597826086956516,17.0
z<=19,mE,0.25,0.24086163446537856,0.045,700.0,0.13664490579623184,1.4451698067922716,2.2653708747862504,0.0,,,19.0
z<=19,mE,0.25,0.24615384615384614,0.055,700.0,0.1356923076923077,1.4769230769230768,2.249578204086734,0.0,,,19.0
z<=19,mE,0.25,0.248745372274784,0.065,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,0.0,,,19.0
z<=19,mE,0.25,0.2513368983957219,0.075,700.0,0.13475935828877006,1.5080213903743314,2.234111279841676,0.0,,,19.0
z<=19,mE,0.25,0.2435261872132515,0.085,700.0,0.13616528630161473,1.4611571232795089,2.257419491397648,0.5,71.5,28.152173913043477,19.0
z<=19,mE,0.25,0.248745372274784,0.095,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,0.5,86.0,66.95652173913042,19.0
z<=19,mE,0.25,0.24086163446537856,0.105,700.0,0.13664490579623184,1.4451698067922716,2.2653708747862504,0.5,89.5,41.367276887871846,19.0
z<=19,mE,0.25,0.248745372274784,0.115,700.0,0.13522583299053886,1.4924722336487042,2.241844741964205,1.0,82.0,29.521739130434778,19.0
z<=19,mE,0.25,0.2435261872132515,0.125,700.0,0.13616528630161473,1.4611571232795089,2.257419491397648,1.0,89.0,45.65217391304347,19.0
z<=19,mE,0.5,0.5011445873896118,0.045,700.0,0.08979397426986988,3.0068675243376703,1.488651573631358,0.0,,,19.0
z<=19,mE,0.5,0.5046439628482973,0.055,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,0.0,,,19.0
z<=19,mE,0.5,0.4994071733855723,0.065,700.0,0.09010670879059698,2.9964430403134337,1.4938362504450835,0.0,,,19.0
z<=19,mE,0.5,0.5046439628482973,0.075,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,1.0,67.5,19.927536231884062,19.0
z<=19,mE,0.5,0.5011691348402183,0.085,700.0,0.0897895557287607,3.00701480904131,1.4885783207407401,0.5,95.0,55.13768115942028,19.0
z<=19,mE,0.5,0.4994071733855723,0.095,700.0,0.09010670879059698,2.9964430403134337,1.4938362504450835,0.5,58.5,19.630434782608695,19.0
z<=19,mE,0.5,0.5046439628482973,0.105,700.0,0.08916408668730649,3.0278637770897836,1.4782089671132892,0.75,85.0,31.95652173913043,19.0
z<=19,mE,0.5,0.4976452119309262,0.115,700.0,0.09042386185243327,2.985871271585557,1.4990941801494269,0.5,93.5,37.28260869565217,19.0
z<=19,mE,0.5,0.5011691348402183,0.125,700.0,0.0897895557287607,3.00701480904131,1.4885783207407401,0.5,108.5,39.565217391304344,19.0
z<=19,mE,0.75,0.7474348855564326,0.045,700.0,0.04546172059984214,4.484609313338595,0.7536882342187725,0.25,89.0,85.21739130434781,19.0
z<=19,mE,0.75,0.7465314332392656,0.055,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,0.0,,,19.0
z<=19,mE,0.75,0.7465314332392656,0.065,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,0.5,84.0,27.35507246376811,19.0
z<=19,mE,0.75,0.7474221409312687,0.075,700.0,0.045464014632371624,4.484532845587612,0.7537262658925319,0.5,80.0,44.13043478260869,19.0
z<=19,mE,0.75,0.7447115084754607,0.085,700.0,0.04595192847441705,4.468269050852765,0.7618151573205301,0.75,88.0,34.99999999999999,19.0
z<=19,mE,0.75,0.7465314332392656,0.095,700.0,0.0456243420169322,4.479188599435593,0.7563842573141497,1.0,81.0,46.666666666666664,19.0
